,r,u,phi
0,-1.0,0.14500249922275543,0.013841502368450165
1,-0.9899497487437185,0.15662188827991486,0.01421324908733368
2,-0.9798994974874372,0.16813142597675323,0.014618124812841415
3,-0.9698492462311558,0.1795293539762497,0.015058660879731178
4,-0.9597989949748744,0.1908113807439804,0.015536138787865639
5,-0.949748743718593,0.2019752562046051,0.016052840277552605
6,-0.9396984924623115,0.21301861107349396,0.016610870137810707
7,-0.9296482412060302,0.22393836081027985,0.01721245050430298
8,-0.9195979899497487,0.23473204672336578,0.017859581857919693
9,-0.9095477386934674,0.24539722502231598,0.018554985523223877
10,-0.8994974874371859,0.2559313178062439,0.01930101215839386
11,-0.8894472361809045,0.26633256673812866,0.020100262016057968
12,-0.8793969849246231,0.2765985131263733,0.020955335348844528
13,-0.8693467336683417,0.28672680258750916,0.021868901327252388
14,-0.8592964824120604,0.2967156171798706,0.0228439811617136
15,-0.8492462311557789,0.3065631687641144,0.023883596062660217
16,-0.8391959798994975,0.31626734137535095,0.024990512058138847
17,-0.8291457286432161,0.32582634687423706,0.02616809867322445
18,-0.8190954773869347,0.33523839712142944,0.027419328689575195
19,-0.8090452261306533,0.34450197219848633,0.02874780260026455
20,-0.7989949748743719,0.3536158502101898,0.030156947672367096
21,-0.7889447236180904,0.3625783920288086,0.031650133430957794
22,-0.778894472361809,0.3713878095149994,0.033230770379304886
23,-0.7688442211055276,0.3800433576107025,0.0349029041826725
24,-0.7587939698492463,0.38854336738586426,0.03667020797729492
25,-0.7487437185929648,0.39688724279403687,0.038536105304956436
26,-0.7386934673366834,0.40507328510284424,0.04050504416227341
27,-0.728643216080402,0.41310131549835205,0.04258072376251221
28,-0.7185929648241206,0.42096972465515137,0.04476673901081085
29,-0.7085427135678393,0.42867791652679443,0.047067638486623764
30,-0.6984924623115578,0.43622565269470215,0.04948727786540985
31,-0.6884422110552764,0.4436115026473999,0.052029553800821304
32,-0.6783919597989949,0.45083558559417725,0.054698698222637177
33,-0.6683417085427136,0.4578971266746521,0.05749856308102608
34,-0.6582914572864322,0.46479570865631104,0.06043308600783348
35,-0.6482412060301508,0.4715311825275421,0.06350637227296829
36,-0.6381909547738693,0.47810304164886475,0.06672219187021255
37,-0.6281407035175879,0.48451146483421326,0.07008424401283264
38,-0.6180904522613065,0.490756094455719,0.07359617948532104
39,-0.6080402010050251,0.49683690071105957,0.07726196199655533
40,-0.5979899497487438,0.5027539134025574,0.0810839831829071
41,-0.5879396984924623,0.5085071325302124,0.0850662812590599
42,-0.5778894472361809,0.5140970945358276,0.08921147137880325
43,-0.5678391959798995,0.519523561000824,0.09352252632379532
44,-0.5577889447236181,0.524787187576294,0.0980016365647316
45,-0.5477386934673367,0.5298881530761719,0.10265116393566132
46,-0.5376884422110553,0.5348266363143921,0.10747303813695908
47,-0.5276381909547738,0.5396036505699158,0.11246850341558456
48,-0.5175879396984925,0.5442194938659668,0.11763911694288254
49,-0.507537688442211,0.5486748814582825,0.12298565357923508
50,-0.4974874371859297,0.5529702305793762,0.12850837409496307
51,-0.48743718592964824,0.5571067929267883,0.1342073380947113
52,-0.4773869346733668,0.5610849261283875,0.1400822550058365
53,-0.46733668341708545,0.5649062991142273,0.1461322009563446
54,-0.457286432160804,0.5685716867446899,0.15235565602779388
55,-0.44723618090452255,0.5720822811126709,0.15875068306922913
56,-0.4371859296482412,0.5754397511482239,0.16531512141227722
57,-0.42713567839195976,0.5786451697349548,0.17204639315605164
58,-0.4170854271356784,0.5817009210586548,0.17894074320793152
59,-0.40703517587939697,0.5846086740493774,0.18599475920200348
